date,currency,category,score_precise,coverage
2023-01-07,NZD,labour,0.0,0
2023-01-07,CAD,growth,0.0,0
2023-01-07,CAD,inflation,0.0,0
2023-01-07,CAD,labour,1.5,2
2023-01-07,CHF,growth,-2.0,1
2023-01-07,CHF,inflation,-2.0,1
2023-01-07,CHF,labour,0.0,0
2023-01-08,USD,growth,-0.5,2
2023-01-08,USD,inflation,0.0,0
2023-01-08,USD,labour,1.0,6
2023-01-08,EUR,growth,1.0,2
2023-01-08,EUR,inflation,-0.5,2
2023-01-08,EUR,labour,0.0,0
2023-01-08,GBP,growth,0.0,2
2023-01-08,GBP,inflation,0.0,0
2023-01-08,GBP,labour,0.0,0
2023-01-08,JPY,growth,0.0,0
2023-01-08,JPY,inflation,0.0,0
2023-01-08,JPY,labour,-2.0,1
2023-01-08,AUD,growth,0.0,0
2023-01-08,AUD,inflation,0.0,0
2023-01-08,AUD,labour,0.0,0
2023-01-08,NZD,growth,0.0,0
2023-01-08,NZD,inflation,0.0,0
2023-01-08,NZD,labour,0.0,0
2023-01-08,CAD,growth,0.0,0
2023-01-08,CAD,inflation,0.0,0
2023-01-08,CAD,labour,1.5,2
2023-01-08,CHF,growth,-2.0,1
2023-01-08,CHF,inflation,-2.0,1
2023-01-08,CHF,labour,0.0,0
2023-01-09,USD,growth,-0.5,2
2023-01-09,USD,inflation,0.0,0
2023-01-09,USD,labour,1.0,6
2023-01-09,EUR,growth,1.0,2
2023-01-09,EUR,inflation,-0.5,2
2023-01-09,EUR,labour,0.0,0
2023-01-09,GBP,growth,0.0,2
2023-01-09,GBP,inflation,0.0,0
2023-01-09,GBP,labour,0.0,0
2023-01-09,JPY,growth,0.0,0
2023-01-09,JPY,inflation,0.0,0
2023-01-09,JPY,labour,-2.0,1
2023-01-09,AUD,growth,0.0,0
2023-01-09,AUD,inflation,0.0,0
2023-01-09,AUD,labour,0.0,0
2023-01-09,NZD,growth,0.0,0
2023-01-09,NZD,inflation,0.0,0
2023-01-09,NZD,labour,0.0,0
2023-01-09,CAD,growth,0.0,0
2023-01-09,CAD,inflation,0.0,0
2023-01-09,CAD,labour,1.5,2
2023-01-09,CHF,growth,-2.0,1
2023-01-09,CHF,inflation,-2.0,1
2023-01-09,CHF,labour,0.0,0
2023-01-10,USD,growth,-0.5,2
2023-01-10,USD,inflation,0.0,0
2023-01-10,USD,labour,1.0,6
2023-01-10,EUR,growth,1.0,2
2023-01-10,EUR,inflation,-0.5,2
2023-01-10,EUR,labour,0.0,0
2023-01-10,GBP,growth,0.0,2
2023-01-10,GBP,inflation,0.0,0
2023-01-10,GBP,labour,0.0,0
2023-01-10,JPY,growth,0.0,0
2023-01-10,JPY,inflation,0.0,0
2023-01-10,JPY,labour,-2.0,1
2023-01-10,AUD,growth,0.0,0
2023-01-10,AUD,inflation,0.0,0
2023-01-10,AUD,labour,0.0,0
2023-01-10,NZD,growth,0.0,0
2023-01-10,NZD,inflation,0.0,0
2023-01-10,NZD,labour,0.0,0
2023-01-10,CAD,growth,0.0,0
2023-01-10,CAD,inflation,0.0,0
2023-01-10,CAD,labour,1.5,2
2023-01-10,CHF,growth,-2.0,1
2023-01-10,CHF,inflation,-2.0,1
2023-01-10,CHF,labour,0.0,0
2023-01-11,USD,growth,-0.5,2
2023-01-11,USD,inflation,0.0,0
2023-01-11,USD,labour,1.0,6
2023-01-11,EUR,growth,1.0,2
2023-01-11,EUR,inflation,-0.5,2
2023-01-11,EUR,labour,0.0,0
2023-01-11,GBP,growth,0.0,2
2023-01-11,GBP,inflation,0.0,0
2023-01-11,GBP,labour,0.0,0
2023-01-11,JPY,growth,0.0,0
2023-01-11,JPY,inflation,0.0,0
2023-01-11,JPY,labour,-2.0,1
2023-01-11,AUD,growth,2.0,1
2023-01-11,AUD,inflation,0.0,1
2023-01-11,AUD,labour,0.0,0
2023-01-11,NZD,growth,0.0,0
2023-01-11,NZD,inflation,0.0,0
2023-01-11,NZD,labour,0.0,0
2023-01-11,CAD,growth,0.0,0
2023-01-11,CAD,inflation,0.0,0
2023-01-11,CAD,labour,1.5,2
2023-01-11,CHF,growth,-2.0,1
2023-01-11,CHF,inflation,-2.0,1
2023-01-11,CHF,labour,0.0,0
2023-01-12,USD,growth,-0.5,2
2023-01-12,USD,inflation,0.0,2
2023-01-12,USD,labour,0.8333333333333334,6
2023-01-12,EUR,growth,1.0,2
2023-01-12,EUR,inflation,-0.5,2
2023-01-12,EUR,labour,0.0,0
2023-01-12,GBP,growth,0.0,2
2023-01-12,GBP,inflation,0.0,0
2023-01-12,GBP,labour,0.0,0
2023-01-12,JPY,growth,0.0,0
2023-01-12,JPY,inflation,0.0,0
2023-01-12,JPY,labour,-2.0,1
2023-01-12,AUD,growth,2.0,1
2023-01-12,AUD,inflation,0.0,1
2023-01-12,AUD,labour,0.0,0
2023-01-12,NZD,growth,0.0,0
2023-01-12,NZD,inflation,0.0,0
2023-01-12,NZD,labour,0.0,0
2023-01-12,CAD,growth,0.0,0
2023-01-12,CAD,inflation,0.0,0
2023-01-12,CAD,labour,1.5,2
2023-01-12,CHF,growth,-2.0,1
2023-01-12,CHF,inflation,-2.0,1
2023-01-12,CHF,labour,0.0,0
2023-01-13,USD,growth,-0.5,2
2023-01-13,USD,inflation,0.0,2
2023-01-13,USD,labour,0.8333333333333334,6
2023-01-13,EUR,growth,1.0,2
2023-01-13,EUR,inflation,-0.5,2
2023-01-13,EUR,labour,0.0,0
2023-01-13,GBP,growth,0.6666666666666666,3
2023-01-13,GBP,inflation,0.0,0
2023-01-13,GBP,labour,0.0,0
2023-01-13,JPY,growth,0.0,0
2023-01-13,JPY,inflation,0.0,0
2023-01-13,JPY,labour,-2.0,1
2023-01-13,AUD,growth,2.0,1
2023-01-13,AUD,inflation,0.0,1
2023-01-13,AUD,labour,0.0,0
2023-01-13,NZD,growth,0.0,0
2023-01-13,NZD,inflation,0.0,0
2023-01-13,NZD,labour,0.0,0
2023-01-13,CAD,growth,0.0,0
2023-01-13,CAD,inflation,0.0,0
2023-01-13,CAD,labour,1.5,2
2023-01-13,CHF,growth,-2.0,1
2023-01-13,CHF,inflation,-2.0,1
2023-01-13,CHF,labour,0.0,0
2023-01-14,USD,growth,-0.5,2
2023-01-14,USD,inflation,0.0,2
2023-01-14,USD,labour,0.8333333333333334,6
2023-01-14,EUR,growth,1.0,2
2023-01-14,EUR,inflation,-0.5,2
2023-01-14,EUR,labour,0.0,0
2023-01-14,GBP,growth,0.6666666666666666,3
2023-01-14,GBP,inflation,0.0,0
2023-01-14,GBP,labour,0.0,0
2023-01-14,JPY,growth,0.0,0
2023-01-14,JPY,inflation,0.0,0
2023-01-14,JPY,labour,-2.0,1
2023-01-14,AUD,growth,2.0,1
2023-01-14,AUD,inflation,0.0,1
2023-01-14,AUD,labour,0.0,0
2023-01-14,NZD,growth,0.0,0
2023-01-14,NZD,inflation,0.0,0
2023-01-14,NZD,labour,0.0,0
2023-01-14,CAD,growth,0.0,0
2023-01-14,CAD,inflation,0.0,0
2023-01-14,CAD,labour,1.5,2
2023-01-14,CHF,growth,-2.0,1
2023-01-14,CHF,inflation,-2.0,1
2023-01-14,CHF,labour,0.0,0
2023-01-15,USD,growth,-0.5,2
2023-01-15,USD,inflation,0.0,2
2023-01-15,USD,labour,0.8333333333333334,6
2023-01-15,EUR,growth,1.0,2
2023-01-15,EUR,inflation,-0.5,2
2023-01-15,EUR,labour,0.0,0
2023-01-15,GBP,growth,0.6666666666666666,3
2023-01-15,GBP,inflation,0.0,0
2023-01-15,GBP,labour,0.0,0
2023-01-15,JPY,growth,0.0,0
2023-01-15,JPY,inflation,0.0,0
2023-01-15,JPY,labour,-2.0,1
2023-01-15,AUD,growth,2.0,1
2023-01-15,AUD,inflation,0.0,1
2023-01-15,AUD,labour,0.0,0
2023-01-15,NZD,growth,0.0,0
2023-01-15,NZD,inflation,0.0,0
2023-01-15,NZD,labour,0.0,0
2023-01-15,CAD,growth,0.0,0
2023-01-15,CAD,inflation,0.0,0
2023-01-15,CAD,labour,1.5,2
2023-01-15,CHF,growth,-2.0,1
2023-01-15,CHF,inflation,-2.0,1
2023-01-15,CHF,labour,0.0,0
2023-01-16,USD,growth,-0.5,2
2023-01-16,USD,inflation,0.0,2
2023-01-16,USD,labour,0.8333333333333334,6
2023-01-16,EUR,growth,1.0,2
2023-01-16,EUR,inflation,-0.5,2
2023-01-16,EUR,labour,0.0,0
2023-01-16,GBP,growth,0.6666666666666666,3
2023-01-16,GBP,inflation,0.0,0
2023-01-16,GBP,labour,0.0,0
2023-01-16,JPY,growth,0.0,0
2023-01-16,JPY,inflation,0.0,0
2023-01-16,JPY,labour,-2.0,1
2023-01-16,AUD,growth,2.0,1
2023-01-16,AUD,inflation,0.0,1
2023-01-16,AUD,labour,0.0,0
2023-01-16,NZD,growth,0.0,0
2023-01-16,NZD,inflation,0.0,0
2023-01-16,NZD,labour,0.0,0
2023-01-16,CAD,growth,0.0,0
2023-01-16,CAD,inflation,0.0,0
2023-01-16,CAD,labour,1.5,2
2023-01-16,CHF,growth,-2.0,1
2023-01-16,CHF,inflation,-2.0,1
2023-01-16,CHF,labour,0.0,0
2023-01-17,USD,growth,-0.5,2
2023-01-17,USD,inflation,0.0,2
2023-01-17,USD,labour,0.8333333333333334,6
2023-01-17,EUR,growth,1.0,2
2023-01-17,EUR,inflation,-0.5,2
2023-01-17,EUR,labour,0.0,0
2023-01-17,GBP,growth,0.6666666666666666,3
2023-01-17,GBP,inflation,0.0,0
2023-01-17,GBP,labour,0.3333333333333333,3
2023-01-17,JPY,growth,0.0,0
2023-01-17,JPY,inflation,0.0,0
2023-01-17,JPY,labour,-2.0,1
2023-01-17,AUD,growth,2.0,1
2023-01-17,AUD,inflation,0.0,1
2023-01-17,AUD,labour,0.0,0
2023-01-17,NZD,growth,0.0,0
2023-01-17,NZD,inflation,0.0,0
2023-01-17,NZD,labour,0.0,0
2023-01-17,CAD,growth,0.0,0
2023-01-17,CAD,inflation,0.5,2
2023-01-17,CAD,labour,1.5,2
