ccy,key,n,share,worst_dt,worst_surprise,worst_actual,worst_cons,has_zero_actual,std
NZD,manufacturing_pmi,12,0.2592837568670977,2026-01-15,56.1,56.1,0.0,False,2.4227926536177726
GBP,retail_sales,12,0.2577430236123889,2025-11-21,-1.0,-1.1,-0.1,False,0.8116574885922502
JPY,unemployment_rate,12,0.256568144499179,2025-08-28,-0.20000000000000018,2.3,2.5,False,0.12401124093721466
GBP,gdp_qoq,12,0.2521822149481724,2026-04-16,0.4,0.5,0.1,True,0.21514618004482158
CHF,gdp_qoq,12,0.24593495934959358,2024-05-30,0.2,0.5,0.3,True,0.11146408580454255
AUD,employment_change,12,0.24514914667212181,2026-01-22,36.900000000000006,65.2,28.3,True,24.764356105768897
GBP,services_pmi,12,0.23758614785325954,2026-06-03,1.3999999999999986,49.3,47.9,False,0.7680652592223154
GBP,wage_growth,12,0.23525963149078694,2026-02-17,-0.39999999999999947,4.2,4.6,False,0.2745519766433813
USD,services_pmi,12,0.23389181664512323,2025-06-04,-2.1000000000000014,49.9,52.0,False,1.511847154371703
CAD,employment_change,12,0.22884392311446297,2026-03-13,-94.2,-83.9,10.3,True,60.33886631250862
NZD,cpi_yoy,12,0.2149122807017546,2023-07-18,0.20000000000000007,1.1,0.9,False,0.11381803659589919
EUR,gdp_qoq,12,0.2149122807017544,2023-10-31,-0.1,-0.1,0.0,True,0.11381803659589922
GBP,manufacturing_pmi,12,0.2016129032258091,2026-05-01,0.4000000000000057,53.7,53.3,False,0.3357488238658076
AUD,core_cpi,12,0.17920353982300882,2023-10-25,0.19999999999999996,1.2,1.0,False,0.16025547785276537
JPY,interest_rate_decision,12,0.15,2025-10-30,0.0,0.5,0.5,True,0.2919371040605711
CHF,interest_rate_decision,9,0.1388888888888889,2023-09-21,-0.25,1.75,2.0,True,0.13176156917368248
EUR,unemployment_rate,12,0.13161993769470517,2025-12-02,0.10000000000000053,6.4,6.3,False,0.09003366373785203
