canonical_id,currency,name_raw,name_canonical,datetime_utc,actual,forecast,previous,released,source,hm,reatt_ccy,reatt_key,is_jan2023_dup
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-02-01 08:30:00,49.3,54.3,54.1,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-03-01 08:30:00,48.9,50.4,49.3,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-04-03 07:30:00,47.0,48.5,48.9,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-05-02 07:30:00,45.3,47.2,47.0,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-06-01 07:30:00,43.2,44.5,45.3,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-07-03 07:30:00,44.9,42.8,43.2,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-08-02 07:30:00,38.5,43.8,44.9,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-09-01 07:30:00,39.9,40.5,38.5,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-10-02 07:30:00,44.9,40.6,39.9,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2023-11-01 08:30:00,40.6,45.0,44.9,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-01-02 08:30:00,0.0,0.0,0.0,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-01-03 08:30:00,43.0,43.0,42.1,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-02-01 08:30:00,43.1,44.5,43.0,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-03-01 08:30:00,44.0,44.3,43.1,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-04-02 07:30:00,45.2,45.0,44.0,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-05-02 07:30:00,41.4,45.5,45.2,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-06-03 07:30:00,46.4,45.4,41.4,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-07-01 07:30:00,43.9,45.2,46.4,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-08-02 07:30:00,43.5,44.4,43.9,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-09-02 07:30:00,49.0,43.7,43.5,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-10-01 07:30:00,49.9,47.9,49.0,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-11-01 08:30:00,49.9,49.5,49.9,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2024-12-02 08:30:00,48.5,49.6,49.9,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-01-02 08:30:00,0.0,48.4,48.5,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-01-03 08:30:00,48.4,48.4,48.5,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-02-03 08:30:00,47.5,49.0,48.4,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-03-03 08:30:00,49.6,48.3,47.5,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-04-01 07:30:00,48.9,50.4,49.6,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-05-02 07:30:00,45.8,48.7,48.9,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-06-02 07:30:00,42.1,48.1,45.8,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-07-01 07:30:00,49.6,44.2,42.1,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-08-04 07:30:00,48.8,49.8,49.6,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-09-01 07:30:00,49.0,46.9,48.8,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-10-01 07:30:00,0.0,47.9,49.0,True,ff,7.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-11-03 08:30:00,48.2,47.7,46.3,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-12-01 08:30:00,0.0,49.0,48.2,True,ff,8.5,CHF,manufacturing_pmi,False
cad_s_p_global_manufacturing_pmi,CAD,Manufacturing PMI,S&P Global Manufacturing PMI,2025-12-04 08:30:00,49.7,48.9,48.2,True,ff,8.5,CHF,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-01-02 09:00:00,44.4,44.2,44.2,True,ff,9.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-02-01 09:00:00,48.8,48.8,48.8,True,ff,9.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-03-01 00:30:00,47.7,47.4,47.4,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-03-01 09:00:00,48.5,48.5,48.5,True,ff,9.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-04-03 00:30:00,49.2,48.6,48.6,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-04-03 08:00:00,47.3,47.1,47.1,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-05-01 00:30:00,49.5,49.5,49.5,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-05-02 08:00:00,45.8,45.5,45.5,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-06-01 08:00:00,44.8,44.6,44.6,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-07-03 00:30:00,49.8,49.8,49.8,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-07-03 08:00:00,43.4,43.6,43.6,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-08-01 00:30:00,49.6,49.4,49.4,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-08-01 08:00:00,42.7,42.7,42.7,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-09-01 00:30:00,49.6,49.7,49.7,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-09-01 08:00:00,43.5,43.7,43.7,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-10-02 00:30:00,48.5,48.6,48.6,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-10-02 08:00:00,43.4,43.4,43.4,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-11-01 00:30:00,48.7,49.0,48.5,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-11-02 09:00:00,43.1,43.0,43.0,True,ff,9.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2023-12-01 00:30:00,48.3,48.1,48.1,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-01-02 00:30:00,0.0,0.0,0.0,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-01-02 09:00:00,0.0,0.0,0.0,True,ff,9.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-01-04 00:30:00,47.9,47.7,47.7,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-02-01 00:30:00,48.0,48.0,48.0,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-02-01 09:00:00,46.6,46.6,46.6,True,ff,9.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-03-01 09:00:00,46.5,46.1,46.1,True,ff,9.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-04-01 00:30:00,48.2,48.2,48.2,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-04-02 08:00:00,46.1,45.7,45.7,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-05-01 00:30:00,49.6,49.9,49.9,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-05-02 08:00:00,45.7,45.6,45.6,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-06-03 00:30:00,50.4,50.5,50.5,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-06-03 08:00:00,47.3,47.4,47.4,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-07-01 00:30:00,50.0,50.1,50.1,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-07-01 08:00:00,45.8,45.6,45.6,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-08-01 00:30:00,49.1,49.2,49.2,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-08-01 08:00:00,45.8,45.6,45.6,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-09-02 00:30:00,49.8,49.5,49.5,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-09-02 08:00:00,45.8,45.6,45.6,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-10-01 00:30:00,49.7,49.6,49.6,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-10-01 08:00:00,45.0,44.8,44.8,True,ff,8.0,EUR,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-11-01 00:30:00,49.2,49.0,49.0,True,ff,0.5,JPY,manufacturing_pmi,False
gbp_s_p_global_cips_manufacturing_pmi,GBP,Final Manufacturing PMI,S&P Global/CIPS Manufacturing PMI,2024-11-04 09:00:00,46.0,45.9,45.9,True,ff,9.0,EUR,manufacturing_pmi,False
