as_of,variant,symbol,cls,score,bias,r5,r15,r30
2023-05-03,V5.FULL,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-04,V5.T,FTSE100,cross-asset,10.0,Very Bullish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-04,V5.TS,US-DOLLAR,single,15.0,Very Bullish,,,
2023-05-04,V5.TS,EURUSD,fx,7.5,Very Bullish,,,
2023-05-04,V5.TS,GBPUSD,fx,7.5,Very Bullish,,,
2023-05-04,V5.TS,USDJPY,fx,-7.5,Very Bearish,,,
2023-05-04,V5.TS,USDCHF,fx,-7.5,Very Bearish,,,
2023-05-04,V5.TS,USDCAD,fx,-7.5,Very Bearish,,,
2023-05-04,V5.TS,AUDUSD,fx,7.5,Very Bullish,,,
2023-05-04,V5.TS,NZDUSD,fx,7.5,Very Bullish,,,
2023-05-04,V5.TS,FTSE100,cross-asset,10.0,Very Bullish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-04,V5.TS,GOLD,cross-asset,15.0,Very Bullish,,,
2023-05-04,V5.TS,SILVER,cross-asset,15.0,Very Bullish,,,
2023-05-04,V5.NOF,US-DOLLAR,single,5.0,Very Bullish,,,
2023-05-04,V5.NOF,EURUSD,fx,2.5,Bullish,,,
2023-05-04,V5.NOF,GBPUSD,fx,2.5,Bullish,,,
2023-05-04,V5.NOF,USDJPY,fx,-2.5,Bearish,,,
2023-05-04,V5.NOF,USDCHF,fx,-7.5,Very Bearish,,,
2023-05-04,V5.NOF,USDCAD,fx,-2.5,Bearish,,,
2023-05-04,V5.NOF,AUDUSD,fx,2.5,Bullish,,,
2023-05-04,V5.NOF,NZDUSD,fx,7.5,Very Bullish,,,
2023-05-04,V5.NOF,EURCHF,fx,-5.0,Very Bearish,,,
2023-05-04,V5.NOF,EURNZD,fx,-5.0,Very Bearish,,,
2023-05-04,V5.NOF,GBPCHF,fx,-5.0,Very Bearish,,,
2023-05-04,V5.NOF,GBPNZD,fx,-5.0,Very Bearish,,,
2023-05-04,V5.NOF,NZDJPY,fx,5.0,Very Bullish,,,
2023-05-04,V5.NOF,CHFJPY,fx,5.0,Very Bullish,,,
2023-05-04,V5.NOF,AUDNZD,fx,-5.0,Very Bearish,,,
2023-05-04,V5.NOF,AUDCHF,fx,-5.0,Very Bearish,,,
2023-05-04,V5.NOF,NZDCAD,fx,5.0,Very Bullish,,,
2023-05-04,V5.NOF,CADCHF,fx,-5.0,Very Bearish,,,
2023-05-04,V5.NOF,DJIA,cross-asset,-3.333333333333333,Bearish,,,
2023-05-04,V5.NOF,SP500,cross-asset,-3.333333333333333,Bearish,,,
2023-05-04,V5.NOF,NASDAQ,cross-asset,-3.333333333333333,Bearish,,,
2023-05-04,V5.NOF,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-04,V5.NOF,NIKKEI,cross-asset,-3.333333333333333,Bearish,,,
2023-05-04,V5.NOF,GOLD,cross-asset,2.7777777777777777,Bullish,,,
2023-05-04,V5.NOF,SILVER,cross-asset,2.7777777777777777,Bullish,,,
2023-05-04,V5.HALF,US-DOLLAR,single,2.361111111111111,Bullish,,,
2023-05-04,V5.HALF,EURUSD,fx,1.3333333333333333,Bullish,,,
2023-05-04,V5.HALF,GBPUSD,fx,2.4097222222222223,Bullish,,,
2023-05-04,V5.HALF,USDJPY,fx,-2.166666666666667,Bearish,,,
2023-05-04,V5.HALF,USDCAD,fx,-1.6111111111111112,Bearish,,,
2023-05-04,V5.HALF,AUDUSD,fx,1.3333333333333333,Bullish,,,
2023-05-04,V5.HALF,NZDUSD,fx,1.5416666666666663,Bullish,,,
2023-05-04,V5.HALF,GBPCHF,fx,1.7013888888888888,Bullish,,,
2023-05-04,V5.HALF,CHFJPY,fx,-1.4583333333333335,Bearish,,,
2023-05-04,V5.HALF,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-04,V5.FULL,US-DOLLAR,single,1.4814814814814816,Bullish,,,
2023-05-04,V5.FULL,GBPUSD,fx,2.3726851851851847,Bullish,,,
2023-05-04,V5.FULL,USDJPY,fx,-2.048611111111111,Bearish,,,
2023-05-04,V5.FULL,USDCAD,fx,-1.3078703703703707,Bearish,,,
2023-05-04,V5.FULL,EURGBP,fx,-1.435185185185185,Bearish,,,
2023-05-04,V5.FULL,GBPCHF,fx,2.6256613756613754,Bullish,,,
2023-05-04,V5.FULL,GBPAUD,fx,1.435185185185185,Bullish,,,
2023-05-04,V5.FULL,GBPNZD,fx,1.6732804232804228,Bullish,,,
2023-05-04,V5.FULL,NZDJPY,fx,-1.3492063492063493,Bearish,,,
2023-05-04,V5.FULL,CHFJPY,fx,-2.3015873015873014,Bearish,,,
2023-05-04,V5.FULL,CADCHF,fx,1.560846560846561,Bullish,,,
2023-05-04,V5.FULL,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-05,V5.T,FTSE100,cross-asset,10.0,Very Bullish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-05,V5.TS,US-DOLLAR,single,15.0,Very Bullish,,,
2023-05-05,V5.TS,EURUSD,fx,7.5,Very Bullish,,,
2023-05-05,V5.TS,GBPUSD,fx,7.5,Very Bullish,,,
2023-05-05,V5.TS,USDJPY,fx,-7.5,Very Bearish,,,
2023-05-05,V5.TS,USDCHF,fx,-7.5,Very Bearish,,,
2023-05-05,V5.TS,USDCAD,fx,-7.5,Very Bearish,,,
2023-05-05,V5.TS,AUDUSD,fx,7.5,Very Bullish,,,
2023-05-05,V5.TS,NZDUSD,fx,7.5,Very Bullish,,,
2023-05-05,V5.TS,FTSE100,cross-asset,10.0,Very Bullish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-05,V5.TS,GOLD,cross-asset,15.0,Very Bullish,,,
2023-05-05,V5.TS,SILVER,cross-asset,15.0,Very Bullish,,,
2023-05-05,V5.NOF,US-DOLLAR,single,5.0,Very Bullish,,,
2023-05-05,V5.NOF,EURUSD,fx,2.5,Bullish,,,
2023-05-05,V5.NOF,GBPUSD,fx,4.166666666666667,Very Bullish,,,
2023-05-05,V5.NOF,USDJPY,fx,-2.5,Bearish,,,
2023-05-05,V5.NOF,USDCHF,fx,-7.5,Very Bearish,,,
2023-05-05,V5.NOF,USDCAD,fx,-2.5,Bearish,,,
2023-05-05,V5.NOF,AUDUSD,fx,2.5,Bullish,,,
2023-05-05,V5.NOF,NZDUSD,fx,7.5,Very Bullish,,,
2023-05-05,V5.NOF,EURGBP,fx,-1.666666666666667,Bearish,,,
2023-05-05,V5.NOF,EURCHF,fx,-5.0,Very Bearish,,,
2023-05-05,V5.NOF,EURNZD,fx,-5.0,Very Bearish,,,
2023-05-05,V5.NOF,GBPJPY,fx,1.666666666666667,Bullish,,,
2023-05-05,V5.NOF,GBPCHF,fx,-3.333333333333333,Very Bearish,,,
2023-05-05,V5.NOF,GBPAUD,fx,1.666666666666667,Bullish,,,
2023-05-05,V5.NOF,GBPNZD,fx,-3.333333333333333,Very Bearish,,,
2023-05-05,V5.NOF,GBPCAD,fx,1.666666666666667,Bullish,,,
2023-05-05,V5.NOF,NZDJPY,fx,5.0,Very Bullish,,,
2023-05-05,V5.NOF,CHFJPY,fx,5.0,Very Bullish,,,
2023-05-05,V5.NOF,AUDNZD,fx,-5.0,Very Bearish,,,
2023-05-05,V5.NOF,AUDCHF,fx,-5.0,Very Bearish,,,
2023-05-05,V5.NOF,NZDCAD,fx,5.0,Very Bullish,,,
2023-05-05,V5.NOF,CADCHF,fx,-5.0,Very Bearish,,,
2023-05-05,V5.NOF,DJIA,cross-asset,-3.333333333333333,Bearish,,,
2023-05-05,V5.NOF,SP500,cross-asset,-3.333333333333333,Bearish,,,
2023-05-05,V5.NOF,NASDAQ,cross-asset,-3.333333333333333,Bearish,,,
2023-05-05,V5.NOF,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-05,V5.NOF,NIKKEI,cross-asset,-3.333333333333333,Bearish,,,
2023-05-05,V5.NOF,GOLD,cross-asset,2.7777777777777777,Bullish,,,
2023-05-05,V5.NOF,SILVER,cross-asset,2.7777777777777777,Bullish,,,
2023-05-05,V5.HALF,US-DOLLAR,single,2.2222222222222223,Bullish,,,
2023-05-05,V5.HALF,GBPUSD,fx,3.326388888888889,Very Bullish,,,
2023-05-05,V5.HALF,USDJPY,fx,-2.25,Bearish,,,
2023-05-05,V5.HALF,USDCAD,fx,-1.6944444444444446,Bearish,,,
2023-05-05,V5.HALF,AUDUSD,fx,1.4166666666666667,Bullish,,,
2023-05-05,V5.HALF,NZDUSD,fx,1.6249999999999998,Bullish,,,
2023-05-05,V5.HALF,EURGBP,fx,-2.1875,Bearish,,,
2023-05-05,V5.HALF,GBPCHF,fx,2.5347222222222223,Bullish,,,
2023-05-05,V5.HALF,GBPAUD,fx,1.9097222222222223,Bullish,,,
2023-05-05,V5.HALF,GBPNZD,fx,1.7013888888888893,Bullish,,,
2023-05-05,V5.HALF,GBPCAD,fx,1.6319444444444444,Bullish,,,
2023-05-05,V5.HALF,CHFJPY,fx,-1.4583333333333335,Bearish,,,
2023-05-05,V5.HALF,DAX,cross-asset,-2.333333333333333,Bearish,,,
2023-05-05,V5.FULL,GBPUSD,fx,3.0324074074074074,Very Bullish,,,
2023-05-05,V5.FULL,USDJPY,fx,-2.1527777777777777,Bearish,,,
2023-05-05,V5.FULL,USDCAD,fx,-1.4120370370370372,Bearish,,,
2023-05-05,V5.FULL,EURGBP,fx,-2.3611111111111107,Bearish,,,
2023-05-05,V5.FULL,EURJPY,fx,-1.4814814814814814,Bearish,,,
2023-05-05,V5.FULL,GBPCHF,fx,3.181216931216931,Very Bullish,,,
2023-05-05,V5.FULL,GBPAUD,fx,1.9907407407407407,Bullish,,,
2023-05-05,V5.FULL,GBPNZD,fx,2.2288359788359786,Bullish,,,
2023-05-05,V5.FULL,GBPCAD,fx,1.62037037037037,Bullish,,,
2023-05-05,V5.FULL,NZDJPY,fx,-1.3492063492063493,Bearish,,,
2023-05-05,V5.FULL,CHFJPY,fx,-2.3015873015873014,Bearish,,,
2023-05-05,V5.FULL,CADCHF,fx,1.560846560846561,Bullish,,,
2023-05-05,V5.FULL,DAX,cross-asset,-2.083333333333333,Bearish,,,
2023-05-05,V5.FULL,FTSE100,cross-asset,-2.2222222222222223,Bearish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-08,V5.T,FTSE100,cross-asset,10.0,Very Bullish,0.37661920565249973,0.3309736644898833,0.420096884701852
2023-05-08,V5.TS,US-DOLLAR,single,15.0,Very Bullish,,,
