as_of,symbol,cls,score,bias,r15,r21,r30
2023-05-08,EURJPY,fx,-3.0555555555555554,Very Bearish,,,
2023-05-08,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-08,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-08,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-08,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-08,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-08,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-08,AUDJPY,fx,-1.6666666666666665,Bearish,,,
2023-05-08,NZDJPY,fx,-2.2222222222222223,Bearish,,,
2023-05-08,CHFJPY,fx,-3.333333333333333,Very Bearish,,,
2023-05-08,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-08,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-08,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-08,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-08,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-09,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-09,GBPUSD,fx,2.013888888888889,Bullish,,,
2023-05-09,USDCHF,fx,1.8055555555555554,Bullish,,,
2023-05-09,EURGBP,fx,-3.541666666666666,Very Bearish,,,
2023-05-09,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-09,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-09,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-09,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-09,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-09,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-09,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-09,NZDJPY,fx,-1.8055555555555556,Bearish,,,
2023-05-09,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-09,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-09,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-09,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-09,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-09,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-10,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-10,GBPUSD,fx,2.013888888888889,Bullish,,,
2023-05-10,USDCHF,fx,1.8055555555555554,Bullish,,,
2023-05-10,EURGBP,fx,-3.541666666666666,Very Bearish,,,
2023-05-10,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-10,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-10,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-10,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-10,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-10,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-10,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-10,NZDJPY,fx,-1.8055555555555556,Bearish,,,
2023-05-10,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-10,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-10,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-10,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-10,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-10,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-11,EURUSD,fx,-1.9444444444444442,Bearish,,,
2023-05-11,GBPUSD,fx,1.597222222222222,Bullish,,,
2023-05-11,USDCHF,fx,2.2222222222222223,Bullish,,,
2023-05-11,EURGBP,fx,-3.541666666666666,Very Bearish,,,
2023-05-11,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-11,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-11,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-11,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-11,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-11,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-11,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-11,NZDJPY,fx,-1.8055555555555556,Bearish,,,
2023-05-11,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-11,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-11,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-11,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-11,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-11,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-12,EURUSD,fx,-1.3888888888888886,Bearish,,,
2023-05-12,GBPUSD,fx,2.1527777777777777,Bullish,,,
2023-05-12,USDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-12,EURGBP,fx,-3.541666666666666,Very Bearish,,,
2023-05-12,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-12,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-12,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-12,GBPCHF,fx,3.819444444444444,Very Bullish,,,
2023-05-12,GBPAUD,fx,2.1527777777777777,Bullish,,,
2023-05-12,GBPNZD,fx,2.708333333333333,Bullish,,,
2023-05-12,GBPCAD,fx,1.597222222222222,Bullish,,,
2023-05-12,NZDJPY,fx,-1.8055555555555556,Bearish,,,
2023-05-12,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-12,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-12,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-12,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-12,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-12,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-15,EURUSD,fx,-1.3888888888888886,Bearish,,,
2023-05-15,GBPUSD,fx,1.7361111111111107,Bullish,,,
2023-05-15,USDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-15,EURGBP,fx,-3.124999999999999,Very Bearish,,,
2023-05-15,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-15,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-15,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-15,GBPCHF,fx,3.4027777777777772,Very Bullish,,,
2023-05-15,GBPAUD,fx,1.7361111111111107,Bullish,,,
2023-05-15,GBPNZD,fx,2.291666666666666,Bullish,,,
2023-05-15,NZDJPY,fx,-1.8055555555555556,Bearish,,,
2023-05-15,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-15,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-15,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-15,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-15,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-15,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-16,EURUSD,fx,-1.3888888888888886,Bearish,,,
2023-05-16,GBPUSD,fx,1.7361111111111107,Bullish,,,
2023-05-16,USDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-16,EURGBP,fx,-3.124999999999999,Very Bearish,,,
2023-05-16,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-16,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-16,EURCAD,fx,-1.9444444444444442,Bearish,,,
2023-05-16,GBPCHF,fx,3.4027777777777772,Very Bullish,,,
2023-05-16,GBPAUD,fx,1.7361111111111107,Bullish,,,
2023-05-16,GBPNZD,fx,2.291666666666666,Bullish,,,
2023-05-16,NZDJPY,fx,-1.8055555555555556,Bearish,,,
2023-05-16,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-16,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-16,CADCHF,fx,2.2222222222222223,Bullish,,,
2023-05-16,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-16,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-16,FTSE100,cross-asset,-3.333333333333333,Bearish,0.3309736644898833,0.39281126217749707,0.420096884701852
2023-05-17,EURUSD,fx,-1.3888888888888886,Bearish,,,
2023-05-17,USDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-17,USDCAD,fx,-1.6666666666666665,Bearish,,,
2023-05-17,EURGBP,fx,-2.5694444444444438,Bearish,,,
2023-05-17,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-17,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-17,EURCAD,fx,-3.0555555555555554,Very Bearish,,,
2023-05-17,GBPCHF,fx,2.847222222222222,Bullish,,,
2023-05-17,GBPNZD,fx,1.736111111111111,Bullish,,,
2023-05-17,NZDJPY,fx,-1.8055555555555556,Bearish,,,
2023-05-17,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-17,AUDCAD,fx,-1.6666666666666665,Bearish,,,
2023-05-17,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-17,NZDCAD,fx,-2.2222222222222223,Bearish,,,
2023-05-17,CADCHF,fx,3.333333333333333,Very Bullish,,,
2023-05-17,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-17,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-18,EURUSD,fx,-1.3888888888888886,Bearish,,,
2023-05-18,USDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-18,USDCAD,fx,-1.6666666666666665,Bearish,,,
2023-05-18,NZDUSD,fx,-2.2222222222222223,Bearish,,,
2023-05-18,EURGBP,fx,-2.5694444444444438,Bearish,,,
2023-05-18,EURJPY,fx,-2.6388888888888884,Bearish,,,
2023-05-18,EURAUD,fx,-1.3888888888888886,Bearish,,,
2023-05-18,EURCAD,fx,-3.0555555555555554,Very Bearish,,,
2023-05-18,GBPCHF,fx,2.847222222222222,Bullish,,,
2023-05-18,GBPNZD,fx,3.4027777777777777,Very Bullish,,,
2023-05-18,NZDJPY,fx,-3.4722222222222223,Very Bearish,,,
2023-05-18,CHFJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-18,AUDNZD,fx,2.2222222222222223,Bullish,,,
2023-05-18,AUDCAD,fx,-1.6666666666666665,Bearish,,,
2023-05-18,AUDCHF,fx,1.6666666666666665,Bullish,,,
2023-05-18,NZDCAD,fx,-3.888888888888889,Very Bearish,,,
2023-05-18,CADCHF,fx,3.333333333333333,Very Bullish,,,
2023-05-18,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-18,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-19,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-19,USDCAD,fx,-1.5277777777777777,Bearish,,,
2023-05-19,AUDUSD,fx,-1.8055555555555554,Bearish,,,
2023-05-19,NZDUSD,fx,-2.361111111111111,Bearish,,,
2023-05-19,EURGBP,fx,-2.5694444444444438,Bearish,,,
2023-05-19,EURJPY,fx,-2.222222222222222,Bearish,,,
2023-05-19,EURCHF,fx,-1.3888888888888886,Bearish,,,
2023-05-19,EURCAD,fx,-3.0555555555555554,Very Bearish,,,
2023-05-19,GBPAUD,fx,2.847222222222222,Bullish,,,
2023-05-19,GBPNZD,fx,3.4027777777777777,Very Bullish,,,
2023-05-19,AUDJPY,fx,-2.5,Bearish,,,
2023-05-19,NZDJPY,fx,-3.0555555555555554,Very Bearish,,,
2023-05-19,AUDCAD,fx,-3.333333333333333,Very Bearish,,,
2023-05-19,AUDCHF,fx,-1.6666666666666665,Bearish,,,
2023-05-19,NZDCAD,fx,-3.888888888888889,Very Bearish,,,
2023-05-19,NZDCHF,fx,-2.2222222222222223,Bearish,,,
2023-05-19,CADCHF,fx,1.6666666666666665,Bullish,,,
2023-05-19,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-19,NIKKEI,cross-asset,5.0,Very Bullish,,,
2023-05-22,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-22,AUDUSD,fx,-1.8055555555555554,Bearish,,,
2023-05-22,NZDUSD,fx,-2.361111111111111,Bearish,,,
2023-05-22,EURGBP,fx,-2.5694444444444438,Bearish,,,
2023-05-22,EURJPY,fx,-2.222222222222222,Bearish,,,
2023-05-22,EURCHF,fx,-1.3888888888888886,Bearish,,,
2023-05-22,EURCAD,fx,-2.222222222222222,Bearish,,,
2023-05-22,GBPAUD,fx,2.847222222222222,Bullish,,,
2023-05-22,GBPNZD,fx,3.4027777777777777,Very Bullish,,,
2023-05-22,AUDJPY,fx,-2.5,Bearish,,,
2023-05-22,NZDJPY,fx,-3.0555555555555554,Very Bearish,,,
2023-05-22,AUDCAD,fx,-2.5,Bearish,,,
2023-05-22,AUDCHF,fx,-1.6666666666666665,Bearish,,,
2023-05-22,NZDCAD,fx,-3.0555555555555554,Very Bearish,,,
2023-05-22,NZDCHF,fx,-2.2222222222222223,Bearish,,,
2023-05-22,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-22,NIKKEI,cross-asset,5.0,Very Bullish,,,
2023-05-23,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-23,AUDUSD,fx,-1.8055555555555554,Bearish,,,
2023-05-23,NZDUSD,fx,-2.361111111111111,Bearish,,,
2023-05-23,EURGBP,fx,-2.5694444444444438,Bearish,,,
2023-05-23,EURJPY,fx,-2.222222222222222,Bearish,,,
2023-05-23,EURCHF,fx,-1.3888888888888886,Bearish,,,
2023-05-23,EURCAD,fx,-2.222222222222222,Bearish,,,
2023-05-23,GBPAUD,fx,2.847222222222222,Bullish,,,
2023-05-23,GBPNZD,fx,3.4027777777777777,Very Bullish,,,
2023-05-23,AUDJPY,fx,-2.5,Bearish,,,
2023-05-23,NZDJPY,fx,-3.0555555555555554,Very Bearish,,,
2023-05-23,AUDCAD,fx,-2.5,Bearish,,,
2023-05-23,AUDCHF,fx,-1.6666666666666665,Bearish,,,
2023-05-23,NZDCAD,fx,-3.0555555555555554,Very Bearish,,,
2023-05-23,NZDCHF,fx,-2.2222222222222223,Bearish,,,
2023-05-23,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-23,NIKKEI,cross-asset,5.0,Very Bullish,,,
2023-05-24,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-24,AUDUSD,fx,-1.8055555555555554,Bearish,,,
2023-05-24,NZDUSD,fx,-2.361111111111111,Bearish,,,
2023-05-24,EURGBP,fx,-2.5694444444444438,Bearish,,,
2023-05-24,EURJPY,fx,-1.8055555555555554,Bearish,,,
2023-05-24,EURCHF,fx,-1.3888888888888886,Bearish,,,
2023-05-24,GBPAUD,fx,2.847222222222222,Bullish,,,
2023-05-24,GBPNZD,fx,3.4027777777777777,Very Bullish,,,
2023-05-24,GBPCAD,fx,1.458333333333333,Bullish,,,
2023-05-24,AUDJPY,fx,-2.083333333333333,Bearish,,,
2023-05-24,NZDJPY,fx,-2.638888888888889,Bearish,,,
2023-05-24,AUDCAD,fx,-1.3888888888888888,Bearish,,,
2023-05-24,AUDCHF,fx,-1.6666666666666665,Bearish,,,
2023-05-24,NZDCAD,fx,-1.9444444444444446,Bearish,,,
2023-05-24,NZDCHF,fx,-2.2222222222222223,Bearish,,,
2023-05-24,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-24,NIKKEI,cross-asset,6.666666666666666,Very Bullish,,,
2023-05-25,EURUSD,fx,-1.5277777777777777,Bearish,,,
2023-05-25,AUDUSD,fx,-1.8055555555555554,Bearish,,,
2023-05-25,NZDUSD,fx,-2.361111111111111,Bearish,,,
2023-05-25,EURGBP,fx,-2.5694444444444438,Bearish,,,
2023-05-25,EURJPY,fx,-1.8055555555555554,Bearish,,,
2023-05-25,EURCHF,fx,-1.3888888888888886,Bearish,,,
2023-05-25,GBPAUD,fx,2.847222222222222,Bullish,,,
2023-05-25,GBPNZD,fx,3.4027777777777777,Very Bullish,,,
2023-05-25,GBPCAD,fx,1.458333333333333,Bullish,,,
2023-05-25,AUDJPY,fx,-2.083333333333333,Bearish,,,
2023-05-25,NZDJPY,fx,-2.638888888888889,Bearish,,,
2023-05-25,AUDCAD,fx,-1.3888888888888888,Bearish,,,
2023-05-25,AUDCHF,fx,-1.6666666666666665,Bearish,,,
2023-05-25,NZDCAD,fx,-1.9444444444444446,Bearish,,,
2023-05-25,NZDCHF,fx,-2.2222222222222223,Bearish,,,
2023-05-25,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-25,NIKKEI,cross-asset,6.666666666666666,Very Bullish,,,
2023-05-26,EURUSD,fx,-1.6666666666666663,Bearish,,,
2023-05-26,AUDUSD,fx,-1.9444444444444442,Bearish,,,
2023-05-26,NZDUSD,fx,-2.5,Bearish,,,
2023-05-26,EURGBP,fx,-2.5694444444444438,Bearish,,,
2023-05-26,EURJPY,fx,-1.8055555555555554,Bearish,,,
2023-05-26,EURCHF,fx,-1.3888888888888886,Bearish,,,
2023-05-26,GBPAUD,fx,2.847222222222222,Bullish,,,
2023-05-26,GBPNZD,fx,3.4027777777777777,Very Bullish,,,
2023-05-26,GBPCAD,fx,1.458333333333333,Bullish,,,
2023-05-26,AUDJPY,fx,-2.083333333333333,Bearish,,,
2023-05-26,NZDJPY,fx,-2.638888888888889,Bearish,,,
2023-05-26,AUDCAD,fx,-1.3888888888888888,Bearish,,,
2023-05-26,AUDCHF,fx,-1.6666666666666665,Bearish,,,
2023-05-26,NZDCAD,fx,-1.9444444444444446,Bearish,,,
2023-05-26,NZDCHF,fx,-2.2222222222222223,Bearish,,,
2023-05-26,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-26,NIKKEI,cross-asset,6.666666666666666,Very Bullish,,,
2023-05-29,US-DOLLAR,single,1.3888888888888886,Bullish,,,
2023-05-29,EURUSD,fx,-2.083333333333333,Bearish,,,
2023-05-29,GBPUSD,fx,1.3194444444444446,Bullish,,,
2023-05-29,AUDUSD,fx,-3.194444444444444,Very Bearish,,,
2023-05-29,NZDUSD,fx,-2.9166666666666665,Bearish,,,
2023-05-29,EURGBP,fx,-3.4027777777777777,Very Bearish,,,
2023-05-29,EURJPY,fx,-1.8055555555555554,Bearish,,,
2023-05-29,EURCHF,fx,-1.3888888888888886,Bearish,,,
2023-05-29,GBPJPY,fx,1.5972222222222223,Bullish,,,
2023-05-29,GBPCHF,fx,2.013888888888889,Bullish,,,
2023-05-29,GBPAUD,fx,4.513888888888889,Very Bullish,,,
2023-05-29,GBPNZD,fx,4.236111111111111,Very Bullish,,,
2023-05-29,GBPCAD,fx,2.2916666666666665,Bullish,,,
2023-05-29,AUDJPY,fx,-2.9166666666666665,Bearish,,,
2023-05-29,NZDJPY,fx,-2.638888888888889,Bearish,,,
2023-05-29,AUDCAD,fx,-2.2222222222222223,Bearish,,,
2023-05-29,AUDCHF,fx,-2.5,Bearish,,,
2023-05-29,NZDCAD,fx,-1.9444444444444446,Bearish,,,
2023-05-29,NZDCHF,fx,-2.2222222222222223,Bearish,,,
2023-05-29,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-29,NIKKEI,cross-asset,6.666666666666666,Very Bullish,,,
2023-05-30,US-DOLLAR,single,1.3888888888888886,Bullish,,,
2023-05-30,EURUSD,fx,-2.083333333333333,Bearish,,,
2023-05-30,GBPUSD,fx,1.3194444444444446,Bullish,,,
2023-05-30,AUDUSD,fx,-3.194444444444444,Very Bearish,,,
2023-05-30,NZDUSD,fx,-2.9166666666666665,Bearish,,,
2023-05-30,EURGBP,fx,-3.4027777777777777,Very Bearish,,,
2023-05-30,EURJPY,fx,-3.0555555555555554,Very Bearish,,,
2023-05-30,EURCHF,fx,-1.3888888888888886,Bearish,,,
2023-05-30,GBPCHF,fx,2.013888888888889,Bullish,,,
2023-05-30,GBPAUD,fx,4.513888888888889,Very Bullish,,,
2023-05-30,GBPNZD,fx,4.236111111111111,Very Bullish,,,
2023-05-30,GBPCAD,fx,2.2916666666666665,Bullish,,,
2023-05-30,AUDJPY,fx,-4.166666666666666,Very Bearish,,,
2023-05-30,NZDJPY,fx,-3.888888888888889,Very Bearish,,,
2023-05-30,CADJPY,fx,-1.9444444444444442,Bearish,,,
2023-05-30,CHFJPY,fx,-1.6666666666666665,Bearish,,,
2023-05-30,AUDCAD,fx,-2.2222222222222223,Bearish,,,
2023-05-30,AUDCHF,fx,-2.5,Bearish,,,
2023-05-30,NZDCAD,fx,-1.9444444444444446,Bearish,,,
2023-05-30,NZDCHF,fx,-2.2222222222222223,Bearish,,,
2023-05-30,DAX,cross-asset,-3.333333333333333,Bearish,,,
2023-05-30,NIKKEI,cross-asset,3.333333333333333,Bullish,,,
2023-05-31,US-DOLLAR,single,1.3888888888888886,Bullish,,,
2023-05-31,EURUSD,fx,-2.083333333333333,Bearish,,,
2023-05-31,USDJPY,fx,2.3611111111111107,Bullish,,,
2023-05-31,AUDUSD,fx,-3.194444444444444,Very Bearish,,,
2023-05-31,NZDUSD,fx,-2.9166666666666665,Bearish,,,
2023-05-31,EURGBP,fx,-3.194444444444444,Very Bearish,,,
2023-05-31,EURCHF,fx,-3.0555555555555554,Very Bearish,,,
2023-05-31,GBPJPY,fx,3.4722222222222223,Very Bullish,,,
2023-05-31,GBPAUD,fx,4.305555555555555,Very Bullish,,,
2023-05-31,GBPNZD,fx,4.027777777777778,Very Bullish,,,
2023-05-31,GBPCAD,fx,2.0833333333333335,Bullish,,,
2023-05-31,CADJPY,fx,1.3888888888888888,Bullish,,,
2023-05-31,CHFJPY,fx,3.333333333333333,Very Bullish,,,
2023-05-31,AUDCAD,fx,-2.2222222222222223,Bearish,,,
2023-05-31,AUDCHF,fx,-4.166666666666666,Very Bearish,,,
2023-05-31,NZDCAD,fx,-1.9444444444444446,Bearish,,,
2023-05-31,NZDCHF,fx,-3.888888888888889,Very Bearish,,,
